"focalID","DBH","focalBA","stems_con","stems_het","BA_con","BA_het","Site","Neighborhood","con_freq","con_freqBA"
"10ac1_1",50.6,0.2010906744,59,7,7.277906751654,1.7552189886,"Sherwin Lakes",1,0.895522388059702,0.809922259801644
"10ac1_2",187.7,2.7670655166,56,11,8.914929323454,0.7912810752,"Sherwin Lakes",1,0.838235294117647,0.936561887945386
"10ac1_3",10.4,0.0084948864,57,9,8.908792207854,1.8376624266,"Sherwin Lakes",1,0.865671641791045,0.829133328516629
"10ac1_4",120.8,1.1461059456,65,5,8.607973797654,2.1409996146,"Sherwin Lakes",1,0.929577464788732,0.820009640104977
"10ac1_5",22.8,0.0408282336,71,2,12.204062786454,1.4799402156,"Sherwin Lakes",1,0.972972972972973,0.892170607405689
"10ac1_6",10.2,0.0081713016,57,3,11.342155401654,1.5139197612,"Sherwin Lakes",1,0.950819672131147,0.882315706140798
"10ac1_7",22.8,0.0408282336,56,9,8.876078727054,1.8376624266,"Sherwin Lakes",1,0.863636363636364,0.829127289022102
"10ac2_1",25.3,0.0502726686,15,4,1.3448671236,3.2179856478,"Sherwin Lakes",2,0.8,0.302428323345138
"10ac2_2",25.1,0.0494809854,49,9,4.8374066202,3.6656330172,"Sherwin Lakes",2,0.847457627118644,0.571397348352735
"10ac2_3",43.6,0.1493013984,26,4,1.8392465784,3.2179856478,"Sherwin Lakes",2,0.870967741935484,0.381933186295858
"10ac2_4",102.8,0.8299981536,46,6,5.9295689376,1.3251842142,"Sherwin Lakes",2,0.886792452830189,0.836088438080355
"10ac2_5",21.5,0.036305115,53,7,4.5614476908,1.4026215126,"Sherwin Lakes",2,0.885245901639344,0.766244331074664
"10ac3_1",11,0.00950334,14,6,5.9900706558,2.5330571574,"Sherwin Lakes",3,0.714285714285714,0.703132936145959
"10ac3_2",101.5,0.809138715,17,7,5.7932054334,2.4343575102,"Sherwin Lakes",3,0.72,0.730614376553719
"10ac3_3",90,0.636174,14,6,5.3633999958,2.5330571574,"Sherwin Lakes",3,0.714285714285714,0.70313293614596
"10ac3_4",7.8,0.0047783736,17,7,5.759334273,2.4343575102,"Sherwin Lakes",3,0.72,0.703071736111537
"10ac3_5",27.9,0.0611363214,13,5,3.2145660162,3.6331999242,"Sherwin Lakes",3,0.736842105263158,0.474127757706413
"10pj1_1",42.5,0.141862875,3,56,0.1168659492,11.948987643054,"Sherwin Lakes",1,0.0666666666666667,0.0211938756026989
"10pj1_2",121.7,1.1632473006,0,76,0,8.439263594454,"Sherwin Lakes",1,0.012987012987013,0.121139909479213
"10pj1_3",23.5,0.043373715,4,44,0.2173979346,10.2932591916,"Sherwin Lakes",1,0.102040816326531,0.0247082516171944
"10pj2_1",23.2,0.0422733696,7,48,2.8843767876,4.7802577746,"Sherwin Lakes",2,0.142857142857143,0.379743754966132
"10pj2_2",107.8,0.9127007736,6,20,2.4430668108,2.828936187,"Sherwin Lakes",2,0.259259259259259,0.542591481894107
"10pj2_3",139.3,1.5240286446,3,21,1.6939570032,1.4812345548,"Sherwin Lakes",2,0.16,0.684791414120058
"10pj2_4",15.9,0.0198556974,6,49,1.3827658152,4.9596195726,"Sherwin Lakes",2,0.125,0.220460289671011
"10pj2_5",35.2,0.0973142016,5,38,1.2278700126,4.5500790258,"Sherwin Lakes",2,0.136363636363636,0.225553164184691
"10pj3_1",105.5,0.874169835,3,18,1.1655548058,6.0404108688,"Sherwin Lakes",3,0.181818181818182,0.252436934798507
"10pj3_2",116.7,1.0696276206,3,23,0.9700970202,6.713775915,"Sherwin Lakes",3,0.148148148148148,0.233018165452505
"10pj3_3",30.7,0.0740231646,3,17,3.5230200852,2.9696036832,"Sherwin Lakes",3,0.19047619047619,0.547774729858466
"10pj3_4",141.8,1.5792226296,2,16,0.9732276246,0.8556532446,"Sherwin Lakes",3,0.157894736842105,0.748935663221121
"11ac1_1",19.4,0.0295593144,3,13,0.1757418894,1.652622972,"Black Mountain",1,0.235294117647059,0.110500313454181
