".variable",".value",".lower",".upper",".width",".point",".interval","tree1","spp1","tree2","spp2","pair","comp","Site","Neighborhood","time"
"rescor__t11ac12__t11ac14",-0.014045864836712,-0.400802617476449,0.379480165508448,0.95,"median","qi","11ac12","ac","11ac14","ac","ac-ac","intra","bm",1,1910
"rescor__t11ac12__t11pj11",0.380872311336088,-0.0243399832011181,0.67772398825821,0.95,"median","qi","11ac12","ac","11pj11","pj","ac-pj","inter","bm",1,1910
"rescor__t11ac12__t11pj14",-0.0548252890043367,-0.42317460261888,0.331678041263745,0.95,"median","qi","11ac12","ac","11pj14","pj","ac-pj","inter","bm",1,1910
"rescor__t11ac12__t11pl11",-0.078401521027331,-0.454558422734062,0.323623476621355,0.95,"median","qi","11ac12","ac","11pl11","pl","ac-pl","inter","bm",1,1910
"rescor__t11ac12__t11pl12",0.279505741617424,-0.129741861851999,0.597851716014285,0.95,"median","qi","11ac12","ac","11pl12","pl","ac-pl","inter","bm",1,1910
"rescor__t11ac12__t11pl124",0.165207857107863,-0.230028207031634,0.509542342064191,0.95,"median","qi","11ac12","ac","11pl124","pl","ac-pl","inter","bm",1,1910
"rescor__t11ac14__t11pj11",0.0995855921766444,-0.303079239155453,0.471750213640851,0.95,"median","qi","11ac14","ac","11pj11","pj","ac-pj","inter","bm",1,1910
"rescor__t11ac14__t11pj14",0.10172663634186,-0.296184888503028,0.480671571366757,0.95,"median","qi","11ac14","ac","11pj14","pj","ac-pj","inter","bm",1,1910
"rescor__t11ac14__t11pl11",0.308457178831081,-0.106231916628828,0.625472033279407,0.95,"median","qi","11ac14","ac","11pl11","pl","ac-pl","inter","bm",1,1910
"rescor__t11ac14__t11pl12",0.180660837581419,-0.207255390859853,0.535258554044949,0.95,"median","qi","11ac14","ac","11pl12","pl","ac-pl","inter","bm",1,1910
"rescor__t11ac14__t11pl124",0.0767978962023674,-0.301559191009571,0.446868233528454,0.95,"median","qi","11ac14","ac","11pl124","pl","ac-pl","inter","bm",1,1910
"rescor__t11pj11__t11pj14",0.0167865401944876,-0.386125486362101,0.401372983423659,0.95,"median","qi","11pj11","pj","11pj14","pj","pj-pj","intra","bm",1,1910
"rescor__t11pj11__t11pl11",0.0541441360520323,-0.345993432166837,0.42781362552655,0.95,"median","qi","11pj11","pj","11pl11","pl","pj-pl","inter","bm",1,1910
"rescor__t11pj11__t11pl12",0.279172039531688,-0.141970520364411,0.600750741893292,0.95,"median","qi","11pj11","pj","11pl12","pl","pj-pl","inter","bm",1,1910
"rescor__t11pj11__t11pl124",0.190641602101012,-0.207339800033394,0.532637759984541,0.95,"median","qi","11pj11","pj","11pl124","pl","pj-pl","inter","bm",1,1910
"rescor__t11pj14__t11pl11",0.0243124366862987,-0.375440543177678,0.403798703611477,0.95,"median","qi","11pj14","pj","11pl11","pl","pj-pl","inter","bm",1,1910
"rescor__t11pj14__t11pl12",-0.17565966173167,-0.529778368930477,0.232269124774944,0.95,"median","qi","11pj14","pj","11pl12","pl","pj-pl","inter","bm",1,1910
"rescor__t11pj14__t11pl124",-0.322408147165819,-0.634108927584322,0.0720709070819931,0.95,"median","qi","11pj14","pj","11pl124","pl","pj-pl","inter","bm",1,1910
"rescor__t11pl11__t11pl12",0.108985310306458,-0.276368102194975,0.47685906221249,0.95,"median","qi","11pl11","pl","11pl12","pl","pl-pl","intra","bm",1,1910
"rescor__t11pl11__t11pl124",0.274030327558001,-0.111873009278784,0.599829619432929,0.95,"median","qi","11pl11","pl","11pl124","pl","pl-pl","intra","bm",1,1910
"rescor__t11pl12__t11pl124",0.522467964126078,0.135549470528252,0.76186770973846,0.95,"median","qi","11pl12","pl","11pl124","pl","pl-pl","intra","bm",1,1910
"rescor__t11ac12__t11ac14",-0.0977661893051332,-0.456241268274509,0.270698707947005,0.95,"median","qi","11ac12","ac","11ac14","ac","ac-ac","intra","bm",1,1920
"rescor__t11ac12__t11pj11",-0.219692433941955,-0.54830568336328,0.201197621232107,0.95,"median","qi","11ac12","ac","11pj11","pj","ac-pj","inter","bm",1,1920
"rescor__t11ac12__t11pj14",0.0134456038520315,-0.359983016228606,0.411552193000889,0.95,"median","qi","11ac12","ac","11pj14","pj","ac-pj","inter","bm",1,1920
"rescor__t11ac12__t11pl11",-0.0440619794649828,-0.424674258031689,0.342549907220286,0.95,"median","qi","11ac12","ac","11pl11","pl","ac-pl","inter","bm",1,1920
"rescor__t11ac12__t11pl12",-0.102738763156545,-0.464927448663759,0.276044850595391,0.95,"median","qi","11ac12","ac","11pl12","pl","ac-pl","inter","bm",1,1920
"rescor__t11ac12__t11pl124",0.363313320015632,-0.0391085843017387,0.669341810903846,0.95,"median","qi","11ac12","ac","11pl124","pl","ac-pl","inter","bm",1,1920
"rescor__t11ac14__t11pj11",0.284874134037623,-0.110530942692151,0.609194291454342,0.95,"median","qi","11ac14","ac","11pj11","pj","ac-pj","inter","bm",1,1920
"rescor__t11ac14__t11pj14",-0.208725465628951,-0.558490541271891,0.191141416803466,0.95,"median","qi","11ac14","ac","11pj14","pj","ac-pj","inter","bm",1,1920
"rescor__t11ac14__t11pl11",0.301785391487029,-0.123574334475871,0.611282457691636,0.95,"median","qi","11ac14","ac","11pl11","pl","ac-pl","inter","bm",1,1920
"rescor__t11ac14__t11pl12",0.437978831432243,0.0557686777854876,0.703349811102231,0.95,"median","qi","11ac14","ac","11pl12","pl","ac-pl","inter","bm",1,1920
"rescor__t11ac14__t11pl124",0.16440026394519,-0.229675685793981,0.51532649327675,0.95,"median","qi","11ac14","ac","11pl124","pl","ac-pl","inter","bm",1,1920
"rescor__t11pj11__t11pj14",0.112875751077605,-0.278345182064308,0.462562877182654,0.95,"median","qi","11pj11","pj","11pj14","pj","pj-pj","intra","bm",1,1920
"rescor__t11pj11__t11pl11",0.29951647511386,-0.0892799808730355,0.614544181448715,0.95,"median","qi","11pj11","pj","11pl11","pl","pj-pl","inter","bm",1,1920
"rescor__t11pj11__t11pl12",0.49029127100935,0.119235488881409,0.745007092263124,0.95,"median","qi","11pj11","pj","11pl12","pl","pj-pl","inter","bm",1,1920
"rescor__t11pj11__t11pl124",-0.0779009276797527,-0.434231837694085,0.321699043582428,0.95,"median","qi","11pj11","pj","11pl124","pl","pj-pl","inter","bm",1,1920
"rescor__t11pj14__t11pl11",-0.128311836421191,-0.490466617597246,0.250877222082104,0.95,"median","qi","11pj14","pj","11pl11","pl","pj-pl","inter","bm",1,1920
"rescor__t11pj14__t11pl12",-0.0358355338424611,-0.401081312600365,0.350113875863039,0.95,"median","qi","11pj14","pj","11pl12","pl","pj-pl","inter","bm",1,1920
"rescor__t11pj14__t11pl124",-0.00734278347428702,-0.382963537633957,0.386857103431966,0.95,"median","qi","11pj14","pj","11pl124","pl","pj-pl","inter","bm",1,1920
"rescor__t11pl11__t11pl12",0.5428249255482,0.17063263357546,0.772359582201042,0.95,"median","qi","11pl11","pl","11pl12","pl","pl-pl","intra","bm",1,1920
"rescor__t11pl11__t11pl124",0.273226726893999,-0.128985576437541,0.585205561206884,0.95,"median","qi","11pl11","pl","11pl124","pl","pl-pl","intra","bm",1,1920
"rescor__t11pl12__t11pl124",0.215786444477803,-0.17637543770005,0.540249873582931,0.95,"median","qi","11pl12","pl","11pl124","pl","pl-pl","intra","bm",1,1920
"rescor__t11ac12__t11ac13",0.109865149739164,-0.2538715349056,0.456986821097798,0.95,"median","qi","11ac12","ac","11ac13","ac","ac-ac","intra","bm",1,1930
"rescor__t11ac12__t11ac14",-0.0971522373823028,-0.461870756255057,0.274917415871323,0.95,"median","qi","11ac12","ac","11ac14","ac","ac-ac","intra","bm",1,1930
"rescor__t11ac12__t11pj11",-0.147052994141898,-0.478728169758154,0.226025875099881,0.95,"median","qi","11ac12","ac","11pj11","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac12__t11pj12",0.0881599017309443,-0.287765931534565,0.444470088834276,0.95,"median","qi","11ac12","ac","11pj12","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac12__t11pj13",-0.157939595100626,-0.488477575686519,0.214661264241754,0.95,"median","qi","11ac12","ac","11pj13","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac12__t11pj14",0.10286407640934,-0.273959542931857,0.45023038492605,0.95,"median","qi","11ac12","ac","11pj14","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac12__t11pl11",0.0348520197168624,-0.338039948798884,0.393520392952856,0.95,"median","qi","11ac12","ac","11pl11","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac12__t11pl12",0.119712221613092,-0.237184567834104,0.456624448767758,0.95,"median","qi","11ac12","ac","11pl12","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac12__t11pl124",0.0878521926676639,-0.272199580522079,0.42218093081235,0.95,"median","qi","11ac12","ac","11pl124","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac12__t11pl14",0.0758579078777621,-0.264924347873529,0.398770551886425,0.95,"median","qi","11ac12","ac","11pl14","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac13__t11ac14",0.177884782874413,-0.188460514126381,0.508643574699766,0.95,"median","qi","11ac13","ac","11ac14","ac","ac-ac","intra","bm",1,1930
"rescor__t11ac13__t11pj11",0.304945353569659,-0.0549343459526242,0.596880727481346,0.95,"median","qi","11ac13","ac","11pj11","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac13__t11pj12",-0.133147700416576,-0.4756327307598,0.234977816523053,0.95,"median","qi","11ac13","ac","11pj12","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac13__t11pj13",0.232732445153757,-0.124836150275566,0.545223119669558,0.95,"median","qi","11ac13","ac","11pj13","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac13__t11pj14",0.133388270373593,-0.230493385994951,0.464365505168884,0.95,"median","qi","11ac13","ac","11pj14","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac13__t11pl11",0.121841760783847,-0.26000585507975,0.464636368971754,0.95,"median","qi","11ac13","ac","11pl11","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac13__t11pl12",0.0505956904502824,-0.285530741297288,0.383361071101004,0.95,"median","qi","11ac13","ac","11pl12","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac13__t11pl124",0.0287268085530469,-0.313663168164861,0.359940420197122,0.95,"median","qi","11ac13","ac","11pl124","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac13__t11pl14",0.423459162751106,0.0840369878535678,0.678974109561152,0.95,"median","qi","11ac13","ac","11pl14","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac14__t11pj11",0.0483582893065088,-0.299004643393863,0.400030527536785,0.95,"median","qi","11ac14","ac","11pj11","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac14__t11pj12",0.0390737082072031,-0.326309134477551,0.389189103380759,0.95,"median","qi","11ac14","ac","11pj12","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac14__t11pj13",0.114396318228517,-0.249177523429422,0.454355613857705,0.95,"median","qi","11ac14","ac","11pj13","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac14__t11pj14",0.13070069270834,-0.225597495155079,0.467093341979357,0.95,"median","qi","11ac14","ac","11pj14","pj","ac-pj","inter","bm",1,1930
"rescor__t11ac14__t11pl11",0.166678356339492,-0.203529476570491,0.50625398429436,0.95,"median","qi","11ac14","ac","11pl11","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac14__t11pl12",0.267543881364536,-0.0982954905573462,0.576739873224213,0.95,"median","qi","11ac14","ac","11pl12","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac14__t11pl124",0.0263088074285481,-0.324148357793279,0.390130572386709,0.95,"median","qi","11ac14","ac","11pl124","pl","ac-pl","inter","bm",1,1930
"rescor__t11ac14__t11pl14",0.234675710040315,-0.109921688512103,0.534192574783276,0.95,"median","qi","11ac14","ac","11pl14","pl","ac-pl","inter","bm",1,1930
"rescor__t11pj11__t11pj12",0.248634651933784,-0.102266183825639,0.55123346299943,0.95,"median","qi","11pj11","pj","11pj12","pj","pj-pj","intra","bm",1,1930
"rescor__t11pj11__t11pj13",0.478799850478886,0.113263093071982,0.725509115274177,0.95,"median","qi","11pj11","pj","11pj13","pj","pj-pj","intra","bm",1,1930
"rescor__t11pj11__t11pj14",0.0476534662587747,-0.304189909157005,0.392102023638916,0.95,"median","qi","11pj11","pj","11pj14","pj","pj-pj","intra","bm",1,1930
"rescor__t11pj11__t11pl11",0.133176476914337,-0.233405061467613,0.456802284672591,0.95,"median","qi","11pj11","pj","11pl11","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj11__t11pl12",0.0516984040823768,-0.296462860746101,0.401413473086262,0.95,"median","qi","11pj11","pj","11pl12","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj11__t11pl124",-0.0171407679722267,-0.357430867206168,0.32647243379337,0.95,"median","qi","11pj11","pj","11pl124","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj11__t11pl14",0.289510370300108,-0.0453491043584215,0.578260863995005,0.95,"median","qi","11pj11","pj","11pl14","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj12__t11pj13",0.169099586280011,-0.199049473762554,0.507934853974054,0.95,"median","qi","11pj12","pj","11pj13","pj","pj-pj","intra","bm",1,1930
"rescor__t11pj12__t11pj14",-0.073162956324677,-0.428021713538627,0.288606771489389,0.95,"median","qi","11pj12","pj","11pj14","pj","pj-pj","intra","bm",1,1930
"rescor__t11pj12__t11pl11",0.150555224967978,-0.224658396403604,0.483235802866344,0.95,"median","qi","11pj12","pj","11pl11","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj12__t11pl12",0.0315518158501319,-0.324727007456755,0.391733717267925,0.95,"median","qi","11pj12","pj","11pl12","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj12__t11pl124",0.127917699683664,-0.233996559758209,0.44956389310026,0.95,"median","qi","11pj12","pj","11pl124","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj12__t11pl14",0.177947905145235,-0.175633467027174,0.48327877645706,0.95,"median","qi","11pj12","pj","11pl14","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj13__t11pj14",-0.0987414886240132,-0.438874543740776,0.275191554787951,0.95,"median","qi","11pj13","pj","11pj14","pj","pj-pj","intra","bm",1,1930
"rescor__t11pj13__t11pl11",0.09688596244612,-0.270558700040375,0.431312834819935,0.95,"median","qi","11pj13","pj","11pl11","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj13__t11pl12",0.153022223317549,-0.200243212094021,0.471786056009143,0.95,"median","qi","11pj13","pj","11pl12","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj13__t11pl124",0.0579630080398585,-0.286195882015349,0.388803501015747,0.95,"median","qi","11pj13","pj","11pl124","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj13__t11pl14",0.285508617969542,-0.0702569795585316,0.567166070354409,0.95,"median","qi","11pj13","pj","11pl14","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj14__t11pl11",0.14506211897503,-0.237527571902474,0.473931766235789,0.95,"median","qi","11pj14","pj","11pl11","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj14__t11pl12",0.237074027078945,-0.143389349995692,0.553193012904582,0.95,"median","qi","11pj14","pj","11pl12","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj14__t11pl124",-0.0368992428117761,-0.377026280337647,0.319701612498691,0.95,"median","qi","11pj14","pj","11pl124","pl","pj-pl","inter","bm",1,1930
"rescor__t11pj14__t11pl14",-0.102472685700793,-0.427624181969103,0.233731789807094,0.95,"median","qi","11pj14","pj","11pl14","pl","pj-pl","inter","bm",1,1930
"rescor__t11pl11__t11pl12",-0.014983799554161,-0.360011918780448,0.349867933600963,0.95,"median","qi","11pl11","pl","11pl12","pl","pl-pl","intra","bm",1,1930
"rescor__t11pl11__t11pl124",0.233837809719716,-0.146968701217927,0.54290505258383,0.95,"median","qi","11pl11","pl","11pl124","pl","pl-pl","intra","bm",1,1930
"rescor__t11pl11__t11pl14",0.297430812976489,-0.0724824930870223,0.59202446657127,0.95,"median","qi","11pl11","pl","11pl14","pl","pl-pl","intra","bm",1,1930
"rescor__t11pl12__t11pl124",-0.376507138816118,-0.651306988213704,-0.0254046994181871,0.95,"median","qi","11pl12","pl","11pl124","pl","pl-pl","intra","bm",1,1930
"rescor__t11pl12__t11pl14",-0.163727731030584,-0.479830459616603,0.180645278671935,0.95,"median","qi","11pl12","pl","11pl14","pl","pl-pl","intra","bm",1,1930
"rescor__t11pl14__t11pl124",0.56990917226505,0.238680466293813,0.774029270251736,0.95,"median","qi","11pl14","pl","11pl124","pl","pl-pl","intra","bm",1,1930
"rescor__t11ac12__t11ac13",0.395295970318503,0.0195411034895704,0.683897652099684,0.95,"median","qi","11ac12","ac","11ac13","ac","ac-ac","intra","bm",1,1940
"rescor__t11ac12__t11ac14",-0.0752050059112111,-0.424553629055429,0.300931052216749,0.95,"median","qi","11ac12","ac","11ac14","ac","ac-ac","intra","bm",1,1940
"rescor__t11ac12__t11pj11",-0.130809091615732,-0.483149546604809,0.23703402818885,0.95,"median","qi","11ac12","ac","11pj11","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac12__t11pj12",-0.00363050852472009,-0.348469359448406,0.332169171672392,0.95,"median","qi","11ac12","ac","11pj12","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac12__t11pj13",0.0304900884537969,-0.326500360500126,0.349144670572529,0.95,"median","qi","11ac12","ac","11pj13","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac12__t11pj14",0.298225578390108,-0.0969380905087644,0.596543252491361,0.95,"median","qi","11ac12","ac","11pj14","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac12__t11pl11",-0.084240071702518,-0.433132531256284,0.263226005357129,0.95,"median","qi","11ac12","ac","11pl11","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac12__t11pl12",0.0044599961081502,-0.34616171362164,0.371368277052136,0.95,"median","qi","11ac12","ac","11pl12","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac12__t11pl124",0.0729641859638433,-0.283380899561504,0.418382781661875,0.95,"median","qi","11ac12","ac","11pl124","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac12__t11pl14",0.0681090188173793,-0.288449295020478,0.405717467754844,0.95,"median","qi","11ac12","ac","11pl14","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac13__t11ac14",-0.000291892109696446,-0.344300284820977,0.361093386406203,0.95,"median","qi","11ac13","ac","11ac14","ac","ac-ac","intra","bm",1,1940
"rescor__t11ac13__t11pj11",0.0672294163997453,-0.298041543046392,0.420166006788534,0.95,"median","qi","11ac13","ac","11pj11","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac13__t11pj12",-0.0284784156601014,-0.385505542524277,0.320500929274054,0.95,"median","qi","11ac13","ac","11pj12","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac13__t11pj13",0.385533231567195,0.0296825402033413,0.649822036805722,0.95,"median","qi","11ac13","ac","11pj13","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac13__t11pj14",0.145232900186175,-0.214991414067089,0.486230030163286,0.95,"median","qi","11ac13","ac","11pj14","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac13__t11pl11",0.126956488871295,-0.24955820310924,0.457266953862253,0.95,"median","qi","11ac13","ac","11pl11","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac13__t11pl12",-0.155960070499837,-0.481861885609432,0.202224221811367,0.95,"median","qi","11ac13","ac","11pl12","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac13__t11pl124",0.127759987067582,-0.23376922224965,0.460714659816829,0.95,"median","qi","11ac13","ac","11pl124","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac13__t11pl14",0.202904386417473,-0.17818026456447,0.533883013330335,0.95,"median","qi","11ac13","ac","11pl14","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac14__t11pj11",0.14410819035311,-0.233024896670451,0.477676896428985,0.95,"median","qi","11ac14","ac","11pj11","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac14__t11pj12",-0.0727632231112156,-0.417301854573908,0.288012658770551,0.95,"median","qi","11ac14","ac","11pj12","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac14__t11pj13",-0.0734997732794916,-0.425588262217479,0.268990843546603,0.95,"median","qi","11ac14","ac","11pj13","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac14__t11pj14",0.239475785987568,-0.134892051961283,0.552822358158703,0.95,"median","qi","11ac14","ac","11pj14","pj","ac-pj","inter","bm",1,1940
"rescor__t11ac14__t11pl11",0.0507067744056226,-0.31548936803508,0.405114526603253,0.95,"median","qi","11ac14","ac","11pl11","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac14__t11pl12",0.289221036147076,-0.0704182427885171,0.603609809780278,0.95,"median","qi","11ac14","ac","11pl12","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac14__t11pl124",-0.076903167763146,-0.412639543457069,0.281798022329695,0.95,"median","qi","11ac14","ac","11pl124","pl","ac-pl","inter","bm",1,1940
"rescor__t11ac14__t11pl14",-0.0199754266837335,-0.381055063488326,0.329971837874694,0.95,"median","qi","11ac14","ac","11pl14","pl","ac-pl","inter","bm",1,1940
"rescor__t11pj11__t11pj12",0.136174045870574,-0.252542021620995,0.471025014749927,0.95,"median","qi","11pj11","pj","11pj12","pj","pj-pj","intra","bm",1,1940
"rescor__t11pj11__t11pj13",0.239663089552645,-0.133815190541986,0.546917990280493,0.95,"median","qi","11pj11","pj","11pj13","pj","pj-pj","intra","bm",1,1940
"rescor__t11pj11__t11pj14",-0.0625457814207432,-0.425163719761866,0.303710915928077,0.95,"median","qi","11pj11","pj","11pj14","pj","pj-pj","intra","bm",1,1940
"rescor__t11pj11__t11pl11",0.0763747208599648,-0.295989362631946,0.411820864988733,0.95,"median","qi","11pj11","pj","11pl11","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj11__t11pl12",-0.0160068520201714,-0.366206091527614,0.349086868182141,0.95,"median","qi","11pj11","pj","11pl12","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj11__t11pl124",0.254920891031398,-0.131564455539774,0.55971324276828,0.95,"median","qi","11pj11","pj","11pl124","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj11__t11pl14",0.196955440876742,-0.194866891925912,0.517851827192545,0.95,"median","qi","11pj11","pj","11pl14","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj12__t11pj13",0.442894050249224,0.0831003303492012,0.695694336439822,0.95,"median","qi","11pj12","pj","11pj13","pj","pj-pj","intra","bm",1,1940
"rescor__t11pj12__t11pj14",0.0964561398983429,-0.257073226876479,0.436892450321761,0.95,"median","qi","11pj12","pj","11pj14","pj","pj-pj","intra","bm",1,1940
"rescor__t11pj12__t11pl11",0.234523533260636,-0.146914387488,0.559836396550732,0.95,"median","qi","11pj12","pj","11pl11","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj12__t11pl12",0.186610537501414,-0.183751540263156,0.51326571804026,0.95,"median","qi","11pj12","pj","11pl12","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj12__t11pl124",0.219766680988316,-0.145027017519935,0.539512938317029,0.95,"median","qi","11pj12","pj","11pl124","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj12__t11pl14",0.311236182679516,-0.0644018388683761,0.600188828355889,0.95,"median","qi","11pj12","pj","11pl14","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj13__t11pj14",0.192076639113142,-0.163685150741573,0.510959210362071,0.95,"median","qi","11pj13","pj","11pj14","pj","pj-pj","intra","bm",1,1940
"rescor__t11pj13__t11pl11",0.108536499603582,-0.2453491548768,0.430375899192993,0.95,"median","qi","11pj13","pj","11pl11","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj13__t11pl12",0.0657785337291786,-0.280170147998981,0.421498480311592,0.95,"median","qi","11pj13","pj","11pl12","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj13__t11pl124",0.459680529391269,0.0936247714222473,0.707682370611106,0.95,"median","qi","11pj13","pj","11pl124","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj13__t11pl14",0.392217886915203,0.0270158271011432,0.656060135530867,0.95,"median","qi","11pj13","pj","11pl14","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj14__t11pl11",0.149846546270177,-0.222719860426817,0.487267373318414,0.95,"median","qi","11pj14","pj","11pl11","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj14__t11pl12",0.22699457539567,-0.178421385105548,0.544928843635058,0.95,"median","qi","11pj14","pj","11pl12","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj14__t11pl124",0.131931132830255,-0.22726840495599,0.465827317366334,0.95,"median","qi","11pj14","pj","11pl124","pl","pj-pl","inter","bm",1,1940
"rescor__t11pj14__t11pl14",0.0477814329133559,-0.304188456570035,0.381351379277265,0.95,"median","qi","11pj14","pj","11pl14","pl","pj-pl","inter","bm",1,1940
"rescor__t11pl11__t11pl12",0.183850065767518,-0.185371962610242,0.513346216453134,0.95,"median","qi","11pl11","pl","11pl12","pl","pl-pl","intra","bm",1,1940
