"tree1","tree2","pearson_r","decade","Site.x","Species.x","Region","hilo","Neighborhood.x","DBH","con_freq","con_freqBA","Site.y","Neighborhood.y","Species.y","dist"
"12pp2_1","12pl2_3",0.14828275061671,1920,"sp","PP","San Jac","low",2,95.2,0.387096774193548,0.779236609907978,"sp",2,"PL",20.666400674175
"12pp2_2","12pl2_3",0.3414099673732,1920,"sp","PP","San Jac","low",2,47.1,0.382352941176471,0.689055400840091,"sp",2,"PL",5.54325699714612
"12pp2_7","12pl2_3",0.939291517094723,1920,"sp","PP","San Jac","low",2,26.3,0.545454545454545,0.654421828654515,"sp",2,"PL",17.6729527948922
"12pp2_8","12pl2_3",-0.26014000322213,1920,"sp","PP","San Jac","low",2,66.2,0.518518518518518,0.749892392153025,"sp",2,"PL",13.2537193913185
"12pp2_21","12pl2_3",0.268064892168865,1920,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"PL",0.538770290409013
"12pp1_10","12pp1_1",0.379355763316301,1920,"sp","PP","San Jac","low",1,87.8,0.416666666666667,0.97387996732088,"sp",1,"PP",39.4464067680643
"12pp2_2","12pp2_1",-0.0816874470848302,1920,"sp","PP","San Jac","low",2,47.1,0.382352941176471,0.689055400840091,"sp",2,"PP",18.9441020213779
"12pp2_7","12pp2_1",0.0339877204633804,1920,"sp","PP","San Jac","low",2,26.3,0.545454545454545,0.654421828654515,"sp",2,"PP",21.2694340549715
"12pp2_8","12pp2_1",0.197931632300248,1920,"sp","PP","San Jac","low",2,66.2,0.518518518518518,0.749892392153025,"sp",2,"PP",18.6707005033237
"12pp2_21","12pp2_1",0.744486777750018,1920,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"PP",20.9296626592675
"12pp2_7","12pp2_2",0.774574107280975,1920,"sp","PP","San Jac","low",2,26.3,0.545454545454545,0.654421828654515,"sp",2,"PP",12.137061273021
"12pp2_8","12pp2_2",0.651150544090626,1920,"sp","PP","San Jac","low",2,66.2,0.518518518518518,0.749892392153025,"sp",2,"PP",7.71660056315401
"12pp2_21","12pp2_2",0.325140105463487,1920,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"PP",6.08134746273876
"12pp2_8","12pp2_7",0.012415355648139,1920,"sp","PP","San Jac","low",2,66.2,0.518518518518518,0.749892392153025,"sp",2,"PP",4.58003329603454
"12pp2_21","12pp2_7",0.424440029348839,1920,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"PP",18.2093484332222
"12pp2_21","12pp2_8",0.232650087141129,1920,"sp","PP","San Jac","low",2,19.1,0.264150943396226,0.595607764264078,"sp",2,"PP",13.7924173010171
"12pp3_2","12pp3_1",0.238955963151238,1920,"sp","PP","San Jac","low",3,23.9,0.260869565217391,0.584307748660248,"sp",3,"PP",13.6743438236203
"12pp3_3","12pp3_1",0.772068697116274,1920,"sp","PP","San Jac","low",3,92.6,0.222222222222222,0.583388972464632,"sp",3,"PP",13.0717459798191
"12pp3_3","12pp3_2",0.358291734434597,1920,"sp","PP","San Jac","low",3,92.6,0.222222222222222,0.583388972464632,"sp",3,"PP",4.60429329782946
"11ac1_3","11ac1_2",0.243826810714739,1920,"bm","AC","San Jac","high",1,29.5,0.25,0.0562670611557167,"bm",1,"AC",37.4234884040972
"11ac1_4","11ac1_2",0.193178007819475,1920,"bm","AC","San Jac","high",1,30.4,0.266666666666667,0.0797784273490458,"bm",1,"AC",34.8212677246143
"11pj1_1","11ac1_2",0.327677639211146,1920,"bm","PJ","San Jac","high",1,61.4,0.19047619047619,0.299871259664108,"bm",1,"AC",23.3828495303776
