"tree1","tree2","pearson_r","Site.x","Species.x","Region","hilo","hegyi","DBH","Site.y","Species.y","Distance"
"12ac2_2","12ac2_1",0.804951098575371,"sp","AC","San Jac","low",16.9997386324622,14,"sp","AC",0.0630354206389057
"12ac2_12","12ac2_1",0.616383851712695,"sp","AC","San Jac","low",6.07168105441408,17.9,"sp","AC",19.5782146803794
"12pj1_1","12ac2_1",0.235857377782346,"sp","PJ","San Jac","low",1.12352023694262,80.2,"sp","AC",NA
"12pj1_2","12ac2_1",0.184234149560646,"sp","PJ","San Jac","low",0.947025307804935,42.7,"sp","AC",NA
"12pl1_1","12ac2_1",0.34281404222961,"sp","PL","San Jac","low",9.30379184255934,8.7,"sp","AC",NA
"12pl1_2","12ac2_1",0.198681502063809,"sp","PL","San Jac","low",12.5011328060636,8.3,"sp","AC",NA
"12pl1_3","12ac2_1",0.00276269740071416,"sp","PL","San Jac","low",1.94591458242924,31.5,"sp","AC",NA
"12pl1_4","12ac2_1",0.321656563741002,"sp","PL","San Jac","low",14.5936809189123,7.8,"sp","AC",NA
"12pl2_1","12ac2_1",0.289225517956661,"sp","PL","San Jac","low",9.64080054048327,8.9,"sp","AC",2.96537138778138
"12pl2_2","12ac2_1",0.263749860659907,"sp","PL","San Jac","low",2.12629680672301,51.5,"sp","AC",9.4529478758497
"12pl2_3","12ac2_1",-0.260000712035588,"sp","PL","San Jac","low",3.1544186902495,37.8,"sp","AC",11.494021285436
"12pl3_1","12ac2_1",0.112385645965432,"sp","PL","San Jac","low",5.92782872243352,21.8,"sp","AC",NA
"12pl3_2","12ac2_1",0.532421275256497,"sp","PL","San Jac","low",5.65341412625897,19.5,"sp","AC",NA
"12pl3_3","12ac2_1",0.423717583660286,"sp","PL","San Jac","low",4.79883417382666,19.4,"sp","AC",NA
"12pl3_4","12ac2_1",0.365635341260423,"sp","PL","San Jac","low",27.9811138938237,5,"sp","AC",NA
"12pl3_5","12ac2_1",0.264718335070616,"sp","PL","San Jac","low",18.7922583441182,12.5,"sp","AC",NA
"12pp1_1","12ac2_1",-0.126233412951633,"sp","PP","San Jac","low",0.289085701281922,108.6,"sp","AC",NA
"12pp1_2","12ac2_1",0.319065465788485,"sp","PP","San Jac","low",0.768903323049249,50.5,"sp","AC",NA
"12pp1_3","12ac2_1",0.145652794818761,"sp","PP","San Jac","low",0.53794021973759,70.6,"sp","AC",NA
"12pp1_10","12ac2_1",0.181077372011696,"sp","PP","San Jac","low",0.501118565570682,87.8,"sp","AC",NA
"12pp2_1","12ac2_1",0.265840692332787,"sp","PP","San Jac","low",0.518852672312602,95.2,"sp","AC",11.5436192361984
"12pp2_2","12ac2_1",0.233533223929944,"sp","PP","San Jac","low",2.13319391958153,47.1,"sp","AC",12.8216514269756
"12pp2_7","12ac2_1",-0.348252683211157,"sp","PP","San Jac","low",2.92665675508082,26.3,"sp","AC",NA
"12pp2_8","12ac2_1",0.124387773457407,"sp","PP","San Jac","low",1.71389576535412,66.2,"sp","AC",17.3364442239719
"12pp2_21","12ac2_1",-0.0190056472200871,"sp","PP","San Jac","low",8.04775691561676,19.1,"sp","AC",11.5283711937655
"12pp3_1","12ac2_1",0.155058560083843,"sp","PP","San Jac","low",1.64007321906686,109.5,"sp","AC",NA
"12pp3_2","12ac2_1",-0.0648297178707541,"sp","PP","San Jac","low",3.22367336521135,23.9,"sp","AC",NA
"12pp3_3","12ac2_1",-0.122937738752653,"sp","PP","San Jac","low",0.92587860465205,92.6,"sp","AC",NA
"11ac1_1","12ac2_1",0.241414342491271,"bm","AC","San Jac","high",1.59037218040108,19.4,"sp","AC",NA
"11ac1_2","12ac2_1",0.11474497331169,"bm","AC","San Jac","high",1.26063416682481,45.4,"sp","AC",NA
"11ac1_3","12ac2_1",-0.0504910679792159,"bm","AC","San Jac","high",0.443777249871466,29.5,"sp","AC",NA
"11ac1_4","12ac2_1",0.297116235384234,"bm","AC","San Jac","high",4.85559395831027,30.4,"sp","AC",NA
"11ac2_1","12ac2_1",0.288025010879348,"bm","AC","San Jac","high",0.649809686942996,74.9,"sp","AC",NA
"11ac2_3","12ac2_1",-0.155418140554053,"bm","AC","San Jac","high",2.45386438735576,17.8,"sp","AC",NA
"11ac2_10","12ac2_1",0.408419228707339,"bm","AC","San Jac","high",10.6127508627825,8.1,"sp","AC",NA
"11ac2_11","12ac2_1",0.375927143985467,"bm","AC","San Jac","high",5.61077341833843,11.6,"sp","AC",NA
"11ac3_1","12ac2_1",0.570366253242302,"bm","AC","San Jac","high",7.74112576617428,17.2,"sp","AC",NA
"11ac3_2","12ac2_1",0.483259134510378,"bm","AC","San Jac","high",6.84795551749793,19.8,"sp","AC",NA
"11ac3_4","12ac2_1",0.433211573167918,"bm","AC","San Jac","high",1.37772002749022,47.4,"sp","AC",NA
"11pj1_1","12ac2_1",0.137165908690768,"bm","PJ","San Jac","high",0.649163158956901,61.4,"sp","AC",NA
"11pj1_2","12ac2_1",0.402847353655819,"bm","PJ","San Jac","high",4.64815607799221,26.1,"sp","AC",NA
"11pj1_3","12ac2_1",0.499940282872433,"bm","PJ","San Jac","high",4.65285375273123,26.6,"sp","AC",NA
"11pj1_4","12ac2_1",-0.0181962255410774,"bm","PJ","San Jac","high",1.5026015111091,59.8,"sp","AC",NA
"11pj2_1","12ac2_1",0.0887509160798508,"bm","PJ","San Jac","high",1.04125139693896,54.1,"sp","AC",NA
"11pj2_2","12ac2_1",0.0125760887620936,"bm","PJ","San Jac","high",2.31896967397162,39.8,"sp","AC",NA
"11pj2_15","12ac2_1",0.327388905552173,"bm","PJ","San Jac","high",1.55851689324013,27.9,"sp","AC",NA
"11pj2_16","12ac2_1",0.263650111664586,"bm","PJ","San Jac","high",2.63221710577576,19.5,"sp","AC",NA
"11pj3_1","12ac2_1",0.155925861761637,"bm","PJ","San Jac","high",4.25635467038994,29,"sp","AC",NA
"11pj3_2","12ac2_1",0.203042385553259,"bm","PJ","San Jac","high",1.42662683849022,77.1,"sp","AC",NA
"11pj3_3","12ac2_1",0.282414799847036,"bm","PJ","San Jac","high",8.97625488176715,11,"sp","AC",NA
"11pj3_4","12ac2_1",-0.23769761597604,"bm","PJ","San Jac","high",1.21605391754946,83,"sp","AC",NA
"11pj3_5","12ac2_1",-0.15146098380772,"bm","PJ","San Jac","high",5.66750472049122,23.9,"sp","AC",NA
"11pl1_1","12ac2_1",0.280087357728852,"bm","PL","San Jac","high",1.22681202823371,46.2,"sp","AC",NA
"11pl1_2","12ac2_1",-0.0241016841647951,"bm","PL","San Jac","high",0.466944495881119,98,"sp","AC",NA
"11pl1_4","12ac2_1",0.442558889389191,"bm","PL","San Jac","high",2.63930679652026,36,"sp","AC",NA
"11pl1_24","12ac2_1",0.0134234167466116,"bm","PL","San Jac","high",2.88855904086101,23.7,"sp","AC",NA
"11pl2_1","12ac2_1",0.0276685629480216,"bm","PL","San Jac","high",0.784702612859565,85.3,"sp","AC",NA
"11pl2_2","12ac2_1",0.254785228938857,"bm","PL","San Jac","high",1.76398371968422,37.9,"sp","AC",NA
"11pl3_1","12ac2_1",0.192722281057289,"bm","PL","San Jac","high",0.730393583542967,121.5,"sp","AC",NA
"11pl3_3","12ac2_1",-0.034054384909616,"bm","PL","San Jac","high",1.08850775894302,59.9,"sp","AC",NA
"12ac2_12","12ac2_2",0.561415551993229,"sp","AC","San Jac","low",6.07168105441408,17.9,"sp","AC",19.5172809288693
"12pj1_1","12ac2_2",-0.0194005573025434,"sp","PJ","San Jac","low",1.12352023694262,80.2,"sp","AC",NA
"12pj1_2","12ac2_2",0.121394959979957,"sp","PJ","San Jac","low",0.947025307804935,42.7,"sp","AC",NA
"12pl1_1","12ac2_2",0.509680544489572,"sp","PL","San Jac","low",9.30379184255934,8.7,"sp","AC",NA
"12pl1_2","12ac2_2",-0.0358505532199079,"sp","PL","San Jac","low",12.5011328060636,8.3,"sp","AC",NA
"12pl1_3","12ac2_2",-0.163124377575875,"sp","PL","San Jac","low",1.94591458242924,31.5,"sp","AC",NA
"12pl1_4","12ac2_2",0.16712029038698,"sp","PL","San Jac","low",14.5936809189123,7.8,"sp","AC",NA
"12pl2_1","12ac2_2",0.152377668650043,"sp","PL","San Jac","low",9.64080054048327,8.9,"sp","AC",3.02678490841643
"12pl2_2","12ac2_2",0.218418842678725,"sp","PL","San Jac","low",2.12629680672301,51.5,"sp","AC",9.47769198243347
"12pl2_3","12ac2_2",-0.223167852097122,"sp","PL","San Jac","low",3.1544186902495,37.8,"sp","AC",11.4723928424277
"12pl3_1","12ac2_2",-0.0687317271390687,"sp","PL","San Jac","low",5.92782872243352,21.8,"sp","AC",NA
"12pl3_2","12ac2_2",0.33543845796995,"sp","PL","San Jac","low",5.65341412625897,19.5,"sp","AC",NA
"12pl3_3","12ac2_2",0.342736213729845,"sp","PL","San Jac","low",4.79883417382666,19.4,"sp","AC",NA
"12pl3_4","12ac2_2",0.177860028576612,"sp","PL","San Jac","low",27.9811138938237,5,"sp","AC",NA
"12pl3_5","12ac2_2",0.0130328173338148,"sp","PL","San Jac","low",18.7922583441182,12.5,"sp","AC",NA
"12pp1_1","12ac2_2",-0.109169848259526,"sp","PP","San Jac","low",0.289085701281922,108.6,"sp","AC",NA
"12pp1_2","12ac2_2",0.24510281871085,"sp","PP","San Jac","low",0.768903323049249,50.5,"sp","AC",NA
"12pp1_3","12ac2_2",0.137692464304847,"sp","PP","San Jac","low",0.53794021973759,70.6,"sp","AC",NA
"12pp1_10","12ac2_2",0.00505967773568366,"sp","PP","San Jac","low",0.501118565570682,87.8,"sp","AC",NA
"12pp2_1","12ac2_2",0.0976118982268895,"sp","PP","San Jac","low",0.518852672312602,95.2,"sp","AC",11.603806229168
"12pp2_2","12ac2_2",0.150255647931976,"sp","PP","San Jac","low",2.13319391958153,47.1,"sp","AC",12.8277364628039
"12pp2_7","12ac2_2",-0.199435214290536,"sp","PP","San Jac","low",2.92665675508082,26.3,"sp","AC",NA
"12pp2_8","12ac2_2",0.118565978890218,"sp","PP","San Jac","low",1.71389576535412,66.2,"sp","AC",17.3676943505255
"12pp2_21","12ac2_2",0.231338735917257,"sp","PP","San Jac","low",8.04775691561676,19.1,"sp","AC",11.5039983689206
"12pp3_1","12ac2_2",0.00990809915197073,"sp","PP","San Jac","low",1.64007321906686,109.5,"sp","AC",NA
"12pp3_2","12ac2_2",0.0598949614588297,"sp","PP","San Jac","low",3.22367336521135,23.9,"sp","AC",NA
"12pp3_3","12ac2_2",0.0137134646298173,"sp","PP","San Jac","low",0.92587860465205,92.6,"sp","AC",NA
"11ac1_1","12ac2_2",0.0632881956865751,"bm","AC","San Jac","high",1.59037218040108,19.4,"sp","AC",NA
"11ac1_2","12ac2_2",0.0819986563918386,"bm","AC","San Jac","high",1.26063416682481,45.4,"sp","AC",NA
"11ac1_3","12ac2_2",-0.146754666018309,"bm","AC","San Jac","high",0.443777249871466,29.5,"sp","AC",NA
"11ac1_4","12ac2_2",0.290125128136414,"bm","AC","San Jac","high",4.85559395831027,30.4,"sp","AC",NA
"11ac2_1","12ac2_2",0.194506718609873,"bm","AC","San Jac","high",0.649809686942996,74.9,"sp","AC",NA
"11ac2_3","12ac2_2",-0.233025692905107,"bm","AC","San Jac","high",2.45386438735576,17.8,"sp","AC",NA
"11ac2_10","12ac2_2",0.187205803857726,"bm","AC","San Jac","high",10.6127508627825,8.1,"sp","AC",NA
"11ac2_11","12ac2_2",0.129086261590505,"bm","AC","San Jac","high",5.61077341833843,11.6,"sp","AC",NA
"11ac3_1","12ac2_2",0.407665880291514,"bm","AC","San Jac","high",7.74112576617428,17.2,"sp","AC",NA
"11ac3_2","12ac2_2",0.246453960956306,"bm","AC","San Jac","high",6.84795551749793,19.8,"sp","AC",NA
"11ac3_4","12ac2_2",0.298806191035453,"bm","AC","San Jac","high",1.37772002749022,47.4,"sp","AC",NA
"11pj1_1","12ac2_2",0.0361565438364148,"bm","PJ","San Jac","high",0.649163158956901,61.4,"sp","AC",NA
"11pj1_2","12ac2_2",0.385332690549341,"bm","PJ","San Jac","high",4.64815607799221,26.1,"sp","AC",NA
"11pj1_3","12ac2_2",0.49269523886472,"bm","PJ","San Jac","high",4.65285375273123,26.6,"sp","AC",NA
"11pj1_4","12ac2_2",0.0633024641344865,"bm","PJ","San Jac","high",1.5026015111091,59.8,"sp","AC",NA
"11pj2_1","12ac2_2",0.119149724366234,"bm","PJ","San Jac","high",1.04125139693896,54.1,"sp","AC",NA
"11pj2_2","12ac2_2",0.0804031662964715,"bm","PJ","San Jac","high",2.31896967397162,39.8,"sp","AC",NA
"11pj2_15","12ac2_2",0.201990623511069,"bm","PJ","San Jac","high",1.55851689324013,27.9,"sp","AC",NA
"11pj2_16","12ac2_2",0.1597913985998,"bm","PJ","San Jac","high",2.63221710577576,19.5,"sp","AC",NA
"11pj3_1","12ac2_2",0.146585170407508,"bm","PJ","San Jac","high",4.25635467038994,29,"sp","AC",NA
"11pj3_2","12ac2_2",0.0432221481800443,"bm","PJ","San Jac","high",1.42662683849022,77.1,"sp","AC",NA
"11pj3_3","12ac2_2",0.236017160458879,"bm","PJ","San Jac","high",8.97625488176715,11,"sp","AC",NA
"11pj3_4","12ac2_2",-0.284352740765912,"bm","PJ","San Jac","high",1.21605391754946,83,"sp","AC",NA
"11pj3_5","12ac2_2",-0.361445808973558,"bm","PJ","San Jac","high",5.66750472049122,23.9,"sp","AC",NA
"11pl1_1","12ac2_2",0.215605456737766,"bm","PL","San Jac","high",1.22681202823371,46.2,"sp","AC",NA
"11pl1_2","12ac2_2",-0.0239214635854781,"bm","PL","San Jac","high",0.466944495881119,98,"sp","AC",NA
"11pl1_4","12ac2_2",0.315471152833417,"bm","PL","San Jac","high",2.63930679652026,36,"sp","AC",NA
"11pl1_24","12ac2_2",0.0462864437848957,"bm","PL","San Jac","high",2.88855904086101,23.7,"sp","AC",NA
"11pl2_1","12ac2_2",-0.0762815128868154,"bm","PL","San Jac","high",0.784702612859565,85.3,"sp","AC",NA
"11pl2_2","12ac2_2",0.136656691630466,"bm","PL","San Jac","high",1.76398371968422,37.9,"sp","AC",NA
"11pl3_1","12ac2_2",0.101775107426775,"bm","PL","San Jac","high",0.730393583542967,121.5,"sp","AC",NA
"11pl3_3","12ac2_2",-0.1784580004185,"bm","PL","San Jac","high",1.08850775894302,59.9,"sp","AC",NA
"12pj1_1","12ac2_12",0.559903265469464,"sp","PJ","San Jac","low",1.12352023694262,80.2,"sp","AC",NA
