".variable",".value",".lower",".upper",".width",".point",".interval","tree1","spp1","tree2","spp2","pair","comp","Site","Neighborhood","focal_sp","comp_sp"
"rescor__t11ac11__t11ac12",0.513303372068975,0.316789355996119,0.664959650183905,0.95,"median","qi","11ac11","ac","11ac12","ac","ac-ac","intra","bm",1,"ac","self"
"rescor__t11ac11__t11ac13",0.43131267243885,0.224732858940242,0.605530512830866,0.95,"median","qi","11ac11","ac","11ac13","ac","ac-ac","intra","bm",1,"ac","self"
"rescor__t11ac11__t11ac14",0.230816639685883,-0.00340348578373318,0.424782120443261,0.95,"median","qi","11ac11","ac","11ac14","ac","ac-ac","intra","bm",1,"ac","self"
"rescor__t11ac12__t11ac13",0.570026628675292,0.37812216093347,0.70583953482584,0.95,"median","qi","11ac12","ac","11ac13","ac","ac-ac","intra","bm",1,"ac","self"
"rescor__t11ac12__t11ac14",0.477536152577889,0.268067321997728,0.632202619304928,0.95,"median","qi","11ac12","ac","11ac14","ac","ac-ac","intra","bm",1,"ac","self"
"rescor__t11ac13__t11ac14",0.352365638184818,0.125437240687181,0.533467360389173,0.95,"median","qi","11ac13","ac","11ac14","ac","ac-ac","intra","bm",1,"ac","self"
"rescor__t11ac21__t11ac210",0.308492603860964,-0.0376581132929307,0.579327832230553,0.95,"median","qi","11ac21","ac","11ac210","ac","ac-ac","intra","bm",2,"ac","self"
"rescor__t11ac21__t11ac211",0.371302236513403,0.036480214705375,0.625182934714016,0.95,"median","qi","11ac21","ac","11ac211","ac","ac-ac","intra","bm",2,"ac","self"
"rescor__t11ac21__t11ac23",0.276678193943911,-0.0866689455096906,0.56021923356151,0.95,"median","qi","11ac21","ac","11ac23","ac","ac-ac","intra","bm",2,"ac","self"
"rescor__t11ac210__t11ac211",0.575924867999438,0.279220850413535,0.770824865709986,0.95,"median","qi","11ac210","ac","11ac211","ac","ac-ac","intra","bm",2,"ac","self"
"rescor__t11ac23__t11ac210",-0.184039936068301,-0.476927103092873,0.135209367389649,0.95,"median","qi","11ac23","ac","11ac210","ac","ac-ac","intra","bm",2,"ac","self"
"rescor__t11ac23__t11ac211",0.160827545061398,-0.161457474661543,0.434531869986458,0.95,"median","qi","11ac23","ac","11ac211","ac","ac-ac","intra","bm",2,"ac","self"
"rescor__t11ac31__t11ac32",0.777374476914426,0.611199440836859,0.875620581153011,0.95,"median","qi","11ac31","ac","11ac32","ac","ac-ac","intra","bm",3,"ac","self"
"rescor__t11ac31__t11ac34",0.337881623387002,0.0713257409835019,0.564378145682592,0.95,"median","qi","11ac31","ac","11ac34","ac","ac-ac","intra","bm",3,"ac","self"
"rescor__t11ac32__t11ac34",0.376070386700957,0.105203614035581,0.583343908938933,0.95,"median","qi","11ac32","ac","11ac34","ac","ac-ac","intra","bm",3,"ac","self"
"rescor__t4ac11__t4ac1102",0.181939547243572,-0.0702076365288207,0.407959004247531,0.95,"median","qi","4ac11","ac","4ac1102","ac","ac-ac","intra","cm",1,"ac","self"
