"id","varname","month","coef","significant","ci_lower","ci_upper","model","Species","monthno"
1,"spei1","Jun",0.130469960493335,FALSE,-0.0645184327193402,0.304148497497291,"correlation","AC",1
2,"spei1","Jul",0.0321732827109587,FALSE,-0.13921461579434,0.214847602217832,"correlation","AC",2
3,"spei1","Aug",0.0870746112909041,FALSE,-0.0946614720861285,0.267183765003363,"correlation","AC",3
4,"spei1","Sep",0.0459018832609604,FALSE,-0.107331376159083,0.20239399066948,"correlation","AC",4
5,"spei1","Oct",0.251785441943161,TRUE,0.078987919085666,0.425731588582041,"correlation","AC",5
6,"spei1","Nov",0.26871572520269,TRUE,0.0949425433720805,0.433169912586475,"correlation","AC",6
7,"spei1","Dec",0.136869063642522,FALSE,-0.033450116196355,0.292744671804089,"correlation","AC",7
8,"spei1","JAN",0.33621112651724,TRUE,0.157445762891335,0.489062987463443,"correlation","AC",8
9,"spei1","FEB",0.228574697457683,TRUE,0.081239092332412,0.361178867735726,"correlation","AC",9
10,"spei1","MAR",0.215011781941591,TRUE,0.023992414547371,0.365646847551908,"correlation","AC",10
11,"spei1","APR",0.12310822073447,FALSE,-0.0440828364933974,0.279259252044394,"correlation","AC",11
12,"spei1","MAY",-0.00457795785879733,FALSE,-0.186241734459599,0.172394101294962,"correlation","AC",12
13,"spei1","JUN",0.217133796508374,TRUE,0.0702456277250672,0.368517611591983,"correlation","AC",13
14,"spei1","JUL",0.145504339073641,FALSE,-0.0235395783652594,0.3218113327846,"correlation","AC",14
15,"spei1","AUG",-0.0198431905263948,FALSE,-0.203874974285642,0.176621417148373,"correlation","AC",15
16,"spei1","SEP",0.081882569998019,FALSE,-0.0945068911132727,0.254848880146003,"correlation","AC",16
17,"tmean_C","Jun",-0.113561622601813,FALSE,-0.30138834750976,0.0842948550530559,"correlation","AC",1
18,"tmean_C","Jul",-0.0344445460526979,FALSE,-0.207575330360099,0.14130764185714,"correlation","AC",2
19,"tmean_C","Aug",-0.0264895539008759,FALSE,-0.221457122898109,0.164467687295441,"correlation","AC",3
20,"tmean_C","Sep",-0.123917149140144,FALSE,-0.260533621412163,-0.00347886878382048,"correlation","AC",4
21,"tmean_C","Oct",-0.157648461267504,TRUE,-0.280800804805876,-0.0241327939057534,"correlation","AC",5
22,"tmean_C","Nov",-0.170648462038472,FALSE,-0.328944788421862,0.0167462940749437,"correlation","AC",6
23,"tmean_C","Dec",0.0362293828051038,FALSE,-0.0865172878759232,0.157658434311717,"correlation","AC",7
24,"tmean_C","JAN",0.108694381652911,FALSE,-0.065258180254955,0.269628590683975,"correlation","AC",8
25,"tmean_C","FEB",0.0290356965224718,FALSE,-0.148668267076575,0.21195743848858,"correlation","AC",9
26,"tmean_C","MAR",-0.0575068802473099,FALSE,-0.271140188211396,0.168939278572294,"correlation","AC",10
27,"tmean_C","APR",-0.0478349149960085,FALSE,-0.225484228022253,0.150088636394818,"correlation","AC",11
28,"tmean_C","MAY",0.0516217092609568,FALSE,-0.133414654479621,0.244487256089038,"correlation","AC",12
29,"tmean_C","JUN",-0.236133156718927,TRUE,-0.383606071192446,-0.088514704419111,"correlation","AC",13
30,"tmean_C","JUL",-0.115478825750498,FALSE,-0.264832545471446,0.0291616612452344,"correlation","AC",14
31,"tmean_C","AUG",0.040278413116672,FALSE,-0.106205501081907,0.176211314525383,"correlation","AC",15
32,"tmean_C","SEP",-0.0558257138244412,FALSE,-0.221610926410241,0.102903220395438,"correlation","AC",16
1,"spei1","Jun",0.100741125043154,FALSE,-0.0135833818396314,0.217999915798945,"response","AC",1
2,"spei1","Jul",0.00387437363032584,FALSE,-0.133727955715969,0.142907465383156,"response","AC",2
3,"spei1","Aug",0.078740572057044,FALSE,-0.0725255007199887,0.231001421461947,"response","AC",3
4,"spei1","Sep",-0.00266287858787204,FALSE,-0.155663043539497,0.1454224685092,"response","AC",4
5,"spei1","Oct",0.196596515598218,TRUE,0.00544334325908911,0.37427818696344,"response","AC",5
6,"spei1","Nov",0.287106837565074,TRUE,0.0967678093621137,0.460256226076976,"response","AC",6
7,"spei1","Dec",0.122708787524839,FALSE,-0.0706002214699972,0.299713433338421,"response","AC",7
8,"spei1","JAN",0.284180313746577,TRUE,0.149133053504394,0.444628445869665,"response","AC",8
9,"spei1","FEB",0.23054832518332,TRUE,0.0724005374320389,0.385848153379914,"response","AC",9
10,"spei1","MAR",0.204705177560706,TRUE,0.0604955815700247,0.360318096782725,"response","AC",10
11,"spei1","APR",-0.0237565439957873,FALSE,-0.14071718887767,0.11019300296843,"response","AC",11
12,"spei1","MAY",0.0541587526401561,FALSE,-0.0825497979215684,0.186795007444447,"response","AC",12
13,"spei1","JUN",0.0446742932372589,FALSE,-0.0482723308837899,0.144212378444193,"response","AC",13
14,"spei1","JUL",0.0391062508711811,FALSE,-0.0828058858162445,0.183306899763838,"response","AC",14
15,"spei1","AUG",-0.0279108503623217,FALSE,-0.172673502587241,0.134304361324399,"response","AC",15
16,"spei1","SEP",-0.0142195697476315,FALSE,-0.148691049149561,0.114450318271947,"response","AC",16
17,"tmean_C","Jun",-0.0790215186085828,FALSE,-0.181774415296629,0.0392583183253767,"response","AC",1
18,"tmean_C","Jul",-0.0226747772183793,FALSE,-0.15291875733096,0.112347274012243,"response","AC",2
19,"tmean_C","Aug",0.0211210855849426,FALSE,-0.128788455871224,0.163809473376685,"response","AC",3
20,"tmean_C","Sep",-0.0638195260137571,FALSE,-0.221029240413263,0.0885055090887922,"response","AC",4
21,"tmean_C","Oct",-0.0619755868192386,FALSE,-0.223353546108056,0.0736928319394833,"response","AC",5
22,"tmean_C","Nov",0.00980192456826851,FALSE,-0.168283870282367,0.173041853386133,"response","AC",6
23,"tmean_C","Dec",0.0744155635405207,FALSE,-0.0695865074492396,0.217037502821355,"response","AC",7
24,"tmean_C","JAN",0.192648750286151,TRUE,0.0220624766794744,0.344418410918101,"response","AC",8
25,"tmean_C","FEB",0.115839677290384,FALSE,-0.0057132803756894,0.251576849866597,"response","AC",9
26,"tmean_C","MAR",0.0486843802751377,FALSE,-0.134352510634378,0.236657517489263,"response","AC",10
27,"tmean_C","APR",0.12427232273348,FALSE,-0.00917609308178513,0.277980401057018,"response","AC",11
28,"tmean_C","MAY",0.0367265974760378,FALSE,-0.0768995959379912,0.149226161110349,"response","AC",12
29,"tmean_C","JUN",-0.0589310597084411,FALSE,-0.161612328770453,0.0384165998283176,"response","AC",13
30,"tmean_C","JUL",0.000859294893724667,FALSE,-0.143303815592239,0.154048343823734,"response","AC",14
31,"tmean_C","AUG",0.0427878455785445,FALSE,-0.107079517682777,0.16461650888945,"response","AC",15
32,"tmean_C","SEP",0.0295971043382309,FALSE,-0.123688447987429,0.145072018491097,"response","AC",16
1,"spei1","Jun",0.180082341687716,TRUE,0.0107680351741295,0.356425300162319,"correlation","PJ",1
